StationNumber,Longitude,Latitude
mtwa,40.2,-10.27
mumb,-3.98,51.57
musc,58.57,23.63
nafl,-81.81,26.13
naga,150.7,59.73
naha,127.67,26.22
naho,132.86,42.78
nain,-61.68,56.55
nanc,93.55,8.05
nans,112.5,9.5
napt,176.92,-39.48
naur,166.91,-0.52
nawi,-159.36,21.96
nbpa,-74.15,40.14
ncla,-90.11,30.03
ncpt,173.05,-34.41
neah,-124.62,48.37
neve,141.86,46.68
newl,-5.54,50.1
nhav,0.06,50.78
nice,7.29,43.7
niki,-151.4,60.69
niko,-168.87,52.94
niue,-169.92,-19.05
nkfa,-175.18,-21.14
nksk,166.02,55.2
noct,-15.95,18.1
nome,-165.43,64.5
noto,137.16,37.5
noua,-17.04,20.81
npor,-2.99,51.55
nshi,-1.44,55.01
nspi,-124.22,40.77
nuku,-140.08,-8.91
numbo,166.41,-22.25
nyal,11.95,78.93
ofun,141.75,39
oinc,-75.55,35.8
omae,138.23,34.6
oran,-70.03,12.52
orma,64.68,25.2
oste,2.92,51.23
otat,170.63,-45.81
ouin,166.68,-21.98
paak,-134.65,56.25
pada,100.37,-0.95
pagb,144.8,13.43
pago,-170.69,-14.28
palb,-121.53,47.71
pale,23.68,35.22
palm,2.64,39.56
pana,108.5,-7.75
pang,-123.44,48.13
pant,11.94,36.83
papa,-85.65,10.64
pape,-149.57,-17.53
papho,32.41,34.76
papo,-70.47,-25.01
para,34.04,35.04
parh,-61.78,17.15
pata,-70.19,-20.8
pbbc,-123.37,48.42
pbfl,-85.88,30.21
pcas,-85.95,15.92
pcfl,-85.67,30.15
pcha,-72.82,-45.47
pchi,-122.04,38.06
pdas,-25.68,37.73
pedn,-74.42,-49.13
peir,23.62,37.93
pemba,40.48,-12.97
penr,-158.05,-9
penu,-66.76,17.97
petr,158.65,53.02
pfla,-90.2,29.12
phpa,-75.14,39.93
pisa,-70.21,-19.6
pitx,-97.22,26.06
pkem,150.91,-34.47
plat,-57.55,-38.05
plmy,-162.09,5.89
pluz,-15.41,28.13
plym,-4.19,50.37
pmel,-73.75,-43.9
pmon,-72.97,-41.48
pmur,114.19,-21.82
pnfl,-87.21,30.4
pnfo,-61.42,10.18
pntn,11.83,-4.78
porf,-124.5,42.74
porl,141.61,-38.34
poro,143.09,49.22
porp,-5.12,54.84
pors,138.47,-35.11
port,-1.06,45.57
posi,130.8,42.65
ppcp,15.12,36.67
prai,-23.5,14.92
prat,-59.38,-62.29
prba,-88.62,15.69
prec,-61.23,14.81
preo,133.92,42.91
pric,-61.73,12.05
prig,111.73,-8.28
prin,-130.32,54.32
prog,-89.65,21.3
prsc,-78.92,33.66
prte,25.63,-33.97
prus,-6.66,55.21
psdn,-86.76,12.2
psla,-89.41,28.93
pslu,-120.75,35.17
ptan,-96.49,15.67
ptar,-70.86,-53.12
ptbl,92.77,11.68
ptca,-68.38,18.5
ptfe,6.72,43.36
ptga,-60.99,10.14
ptis,-4.83,50.59
ptln,3.04,43.01
ptlu,57.5,-20.16
ptma,14.49,35.92
ptmd,-61.47,15.56
ptme,-70.25,43.66
ptmt,-1.11,50.8
ptos,-51.17,-0.05
ptow,-122.76,48.1
ptpl,-70.7,19.8
ptpr,-72.35,18.57
ptre,-122.97,38
ptro,-76.85,17.93
ptsc,-59.64,13.26
ptsp,-61.52,10.65
ptve,3.11,42.52
puert,-105.25,20.62
pumo,-86.75,21.37
puyt,166.59,-46.08
pwil,-67.61,-54.93
qaqo,-46.03,60.72
qing,110.82,19.57
qtro,-71.53,-32.78
quar,114.22,22.28
quel,-73.21,-39.4
quepo,-84.17,9.4
quin,109.25,13.78
quir,-73.06,-36.64
qura,58.92,23.26
raba,152.18,-4.2
rangi,-147.71,-14.95
raro,-159.78,-21.2
rbct,-177.89,-29.28
redg,-164.06,67.06
redw,-122.21,37.51
reun,55.28,-20.92
reyk,-21.93,64.15
rfrt,-177.9,-29.25
riki,-134.97,-23.12
rodr,63.42,-19.68
rorv,11.25,64.87
rosc,-3.97,48.72
rose,-61.39,15.31
ross,150.79,-23.16
rote,123.06,-10.71
rous,8.94,42.64
rptx,-97.05,28.02
rtas,-86.54,16.35
rudn,135.8,44.35
saba,95.33,5.83
sade,110.8,-8.19
sado,138.52,38.32
sagr,-8.93,37.01
sagu,-0.21,39.63
said,-2.29,35.11
saig,133.33,36.2
sain,-2.2,47.26
saip,145.74,15.23
sala,54.01,16.93
sali,-95.2,16.17
salv,-38.52,-12.97
sama,-74.22,11.24
sana,-81.7,12.57
sanb,-119.69,34.41
sand,-117.17,32.71
sanf,-80.12,-26.26
sanj,-66.12,18.46
sanm,-118.5,34.01
sano,-71.62,-33.58
sant,-90.31,-0.75
saot,6.74,0.35
sapz,-77.37,8.66
sass,13.64,54.51
saum,131.29,-7.98
sbea,-124.04,44.63
scar,-60.73,11.17
scoa,-1.68,43.4
scor,-21.96,70.48
sdom,-69.63,18.42
sdpr,-1.15,50.65
sdpt,-160.5,55.34
sebla,101.6,-3.22
seld,-151.72,59.44
sema,110.42,-6.95
sete,3.7,43.4
setu,-8.93,38.49
seve,156.14,50.68
sewa,-149.43,60.12
shee,0.74,51.45
shen,113.88,22.47
shnj,-74.01,40.47
sian,-87.45,19.31
sibo,98.8,1.73
siga,-81.4,31.13
simd,-76.45,38.32
sino,35.15,42.02
sisa,-90.05,21.16
sitin,18.43,-34.18
sitk,-135.34,57.05
sitt,92.9,20.15
sjds,-85.88,11.25
skag,-135.33,59.45
smag,-93.85,18.3
smar,55.55,-20.9
smog,11.22,58.35
sole,9.37,41.84
solo,159.96,-9.43
sona,9.13,4.01
sosu,138.33,46.53
sove,140.29,48.97
sped,-74.88,-47.72
spfl,-82.63,27.76
spmi,-56.1,46.47
sprg,147.93,-42.55
sptx,-93.87,29.73
sscr,-2.7,51.57
stan,-57.93,-51.75
star,142.82,47.41
stcr,-64.69,17.74
sthl,-5.72,-15.92
sthm,18.08,59.32
stjo,-52.72,47.57
stlo,-16.51,15.99
stlu,-61,14.02
stma,-2.03,48.64
stmr,-6.32,49.92
stmt,-63.09,18.08
stor,-6.38,58.2
stpa,77.54,-38.71
subi,120.28,14.82
sumt,172.77,-43.57
sura,112.73,-7.22
suro,59.52,22.57
swpr,-1.95,50.61
syow,39.57,-69.01
syro,24.94,37.44
tako,-1.75,4.88
tala,-81.28,-4.58
talc,-73.11,-36.7
tanjo,103.85,1.26
tara,172.93,1.36
tare,156.41,-6.69
tari,-5.6,36.01
tarr,1.21,41.08
taut,176.18,-37.64
tdcu,-12.3,-37.05
tela,-87.45,15.78
telc,-89.31,21.34
telu,97.82,0.55
tene,-16.24,28.48
thev,133.64,-32.15
thio,166.24,-21.61
thul,-68.86,76.54
tjls,105.66,-6.48
tnbl,98.5,-0.53
tnpr,-3.49,50.54
toama,49.43,-18.16
tobe,-6.06,56.62
tofi,-125.91,49.15
tort,-64.61,18.42
tosa,132.97,32.78
toul,5.91,43.12
toya,137.14,36.46
tpfl,-80.59,28.42
treg,7.57,58
trin,81.2,8.56
tubua,-149.48,-23.34
tuca,71.15,21.43
tudy,-3.45,47.64
tumc,-78.73,1.82
tuxp,-97.4,20.97
ugle,142.07,49.08
ulla,-5.16,57.9
upol,-171.76,-13.83
ushu,-68.22,-54.82
ustk,163,56
util,-86.89,16.1
vair,-149.3,-17.81
vald,-146.36,61.13
vale,-0.31,39.44
valp,-71.63,-33.03
vanu,168.31,-17.76
vard,31.1,70.33
vati,177.76,-17.4
vera,-96.12,19.19
verav,70.37,20.9
vern,-64.27,-65.25
vibc,-123.37,48.42
vieq,-65.47,18.09
vish,83.28,17.68
viti,178.42,-18.13
vkfl,-81.11,24.72
vlad,131.92,43.13
vlis,3.6,51.44
vodo,157.99,51.73
vung,107.07,10.34
waik,119.22,-9.39
wait,-176.56,-43.95
waka,141.68,45.42
wake,166.62,19.29
wall,-176.1,-13.17
walvi,14.5,-22.95
warn,12.1,54.17
wava,-75.6,37.6
wbhb,-2.76,50.71
wbnc,-77.8,34.21
weym,-2.45,50.61
whit,-0.61,54.49
wick,-3.09,58.44
wilb,-123.96,46.7
will,144.92,-37.87
winc,-77.95,34.23
wint,-129.03,50.51
wlgt,174.78,-41.28
wlms,-89.33,30.33
wood,-70.67,41.52
work,-3.57,54.65
wpwa,-124.11,46.91
wsdc,-77.02,38.87
wuda,57.52,23.82
xish,112.33,16.83
xmas,-157.47,1.98
yabu,-65.83,18.06
yaku,-139.74,59.55
yapi,138.12,9.51
yuzh,145.87,44.02
zanz,39.18,-6.15
zhap,111.83,21.58
zihu,-101.56,17.64
